Temperature (K)	Pressure (atm)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/atm)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/atm)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
542.00	53.340	769.37	0.0012998	21.121	21.248	53.432	56.006	91.984	1065.5	0.011672	9.8061e-05	0.59525	0.021607	27.537	0.036315	46.738	50.274	106.99	47.543	83.105	496.41	2.5196	1.8161e-05	0.056504
543.00	54.183	767.71	0.0013026	21.210	21.339	53.598	55.964	92.252	1060.9	0.012327	9.7647e-05	0.59402	0.021372	28.003	0.035711	46.727	50.259	106.86	47.717	83.781	496.06	2.4998	1.8202e-05	0.056870
544.00	55.036	766.04	0.0013054	21.300	21.431	53.763	55.924	92.525	1056.2	0.012993	9.7235e-05	0.59278	0.021137	28.476	0.035117	46.716	50.244	106.73	47.893	84.469	495.69	2.4802	1.8242e-05	0.057241
545.00	55.899	764.36	0.0013083	21.390	21.523	53.928	55.884	92.802	1051.6	0.013670	9.6826e-05	0.59153	0.020902	28.956	0.034535	46.705	50.228	106.60	48.070	85.170	495.32	2.4608	1.8284e-05	0.057617
546.00	56.773	762.67	0.0013112	21.480	21.615	54.094	55.844	93.086	1046.9	0.014359	9.6418e-05	0.59027	0.020668	29.444	0.033962	46.693	50.212	106.47	48.247	85.883	494.93	2.4415	1.8325e-05	0.057998
547.00	57.657	760.97	0.0013141	21.570	21.708	54.259	55.805	93.374	1042.1	0.015060	9.6012e-05	0.58901	0.020433	29.940	0.033400	46.680	50.196	106.34	48.426	86.610	494.54	2.4224	1.8367e-05	0.058384
548.00	58.551	759.26	0.0013171	21.660	21.801	54.425	55.766	93.669	1037.4	0.015774	9.5607e-05	0.58773	0.020199	30.443	0.032848	46.667	50.178	106.21	48.605	87.350	494.14	2.4035	1.8409e-05	0.058775
549.00	59.456	757.54	0.0013201	21.751	21.894	54.590	55.728	93.969	1032.6	0.016501	9.5204e-05	0.58645	0.019964	30.955	0.032305	46.654	50.160	106.08	48.786	88.104	493.73	2.3847	1.8451e-05	0.059172
550.00	60.372	755.81	0.0013231	21.841	21.987	54.756	55.690	94.275	1027.9	0.017240	9.4803e-05	0.58516	0.019730	31.474	0.031772	46.641	50.142	105.95	48.968	88.873	493.31	2.3661	1.8494e-05	0.059574
551.00	61.298	754.06	0.0013261	21.932	22.081	54.922	55.653	94.588	1023.0	0.017994	9.4404e-05	0.58386	0.019496	32.002	0.031248	46.626	50.123	105.82	49.151	89.656	492.88	2.3476	1.8536e-05	0.059981
